"Term","Subj","Crse","Crse_Title","CRN","Sect","POT","Camp","Sche_Typ","Inst_Mthd","Contract_Type","Apprv_Seat_Lim","Sect_Seat_Lim","Sect_Seats_Taken","Sect_Seats_Avail","percent_utilization","Start_Dt","End_Dt","Days","Beg_Time","End_Time","Bldg","Rm","Rm_Cap","Instructor","Contract_Type"
202402,MAT,101,"SUR MATH REAS",37744,001,FD,E,LEC,TR,,35,24,0,24,0,1/22/2024,5/14/2024,MW,09:30AM,10:45AM,SHNCCK,114,24,,
202402,MAT,102,"A Survey of Contemporary Mathe",25127,002,FD,A,LEC,TR,,35,32,0,32,0,1/22/2024,5/14/2024,TR,12:30PM,1:45PM,RIVRHE,224,35,,
202402,MAT,102,"A Survey of Contemporary Mathe",25316,006,ONL,W,LEC,BLBD,,35,35,0,35,0,1/22/2024,5/14/2024,,,,ONLNEW,ONLINE,999,,
202402,MAT,102,"A Survey of Contemporary Mathe",25317,003,FD,W,LEC,BLBD,,35,35,0,35,0,1/22/2024,5/14/2024,MW,12:30PM,1:45PM,ONLNEW,"RLTIME ONL",999,,
202402,MAT,102,"A Survey of Contemporary Mathe",36431,001,FD,A,LEC,TR,,35,32,0,32,0,1/22/2024,5/14/2024,MW,09:30AM,10:45AM,RIVRHE,224,35,,
202402,MAT,102,"A Survey of Contemporary Mathe",36566,004,ONL,E,LEC,BLBD,,35,35,0,35,0,1/22/2024,5/14/2024,,,,ONLNEE,ONLINE,999,,
202402,MAT,102,"A Survey of Contemporary Mathe",37218,005,ONL,A,LEC,BLBD,,35,35,0,35,0,1/22/2024,5/14/2024,,,,ONLNEA,ONLINE,999,,
202402,MAT,102,"A Survey of Contemporary Mathe",38064,007,ONL,A,LEC,BLBD,,35,35,0,35,0,1/22/2024,5/14/2024,,,,ONLNEA,ONLINE,999,,
202402,MAT,103,"Statistics I",20697,041,FE,A,LEC,TR,,35,32,0,32,0,1/22/2024,5/14/2024,M,6:00PM,8:45PM,RIVRHE,201,32,,
202402,MAT,103,"Statistics I",20698,044,FE,A,LEC,BLBD,,35,35,0,35,0,1/22/2024,5/14/2024,R,6:00PM,8:45PM,ONLNEA,"RLTIME ONL",999,,
202402,MAT,103,"Statistics I",20701,011,SS,A,LEC,TR,,35,32,0,32,0,1/27/2024,5/5/2024,S,09:00AM,11:45AM,RIVRHE,201,32,,
202402,MAT,103,"Statistics I",21102,013,FD,A,HNR,TR,,35,24,0,24,0,1/22/2024,5/14/2024,TR,09:30AM,10:45AM,RIVRHE,233,30,,
202402,MAT,103,"Statistics I",21103,005,FD,A,LEC,TR,,35,32,0,32,0,1/22/2024,5/14/2024,MW,08:00AM,09:15AM,RIVRHE,202,32,,
